Parameter,Short Name,CAN ID,DID,UDS Request Payload,Vehicle Model,Source
0_Niro_Minimum Cell Voltage No.,Min Cell V  No.,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Minimum Deterioration,Min Det,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Minimum Deterioration Cell No.,Min Det Cell No.,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Operating Time,OpTime,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_State of Charge BMS,SOC BMS,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 01,Cell 01,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 02,Cell 02,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 03,Cell 03,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 04,Cell 04,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 05,Cell 05,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
